ambient_temp,cpu_usage,gpu_usage,ram_usage,screen_brightness,battery_level,charging,case_on,fan,num_bg_apps,time_since_boot,network_type,app_type,app_intensity,phone_temp,overheat
32.483570765056164,36.19547395693535,4.736717383054993,32.766694927368505,82.61771305184438,96.30615971573475,0,0,0,4,64.92411740103545,5g,social,0.3,54.3370826746421,1
29.308678494144075,14.10551557842637,30.790255048499105,73.77465811943158,32.32273155928822,80.54992493691796,0,1,0,1,101.81828491795093,wifi,video,0.6,59.76889949296989,1
33.23844269050346,8.33936077993329,20.84340464063051,27.18928064054373,80.55497850484689,77.61465225367306,0,0,0,2,9.446927582660924,4g,social,0.3,53.508971518865856,1
37.61514928204013,23.897951762649082,46.39342080178074,8.377208485230433,82.21635137814968,98.01742392304376,0,1,0,3,25.12609709182316,wifi,idle,0.1,63.01568295131112,1
28.829233126383322,21.5714668867718,24.18505517465228,25.904481616812177,62.89056578023417,93.28246325676527,0,0,0,1,26.59951846137885,wifi,video,0.6,57.67083025504094,1
28.8293152152541,58.60151193006203,50.305354627519506,39.22415594281096,78.43767006317248,44.24887089776045,0,0,0,1,13.0904439527288,wifi,idle,0.1,60.561064178251065,1
37.896064077536955,10.202940701063568,9.727472226231985,43.232641930342545,61.19831191980873,14.16608797732873,1,0,0,4,480.41447778113144,5g,game,1.0,70.0,1
33.837173645764544,61.92279507080018,20.293365704958525,27.083496473669275,91.53284955292045,76.83731670764601,0,0,0,2,54.785282012535184,4g,camera,0.7,64.99850145001322,1
27.65262807032524,16.629952309279037,28.802556519829693,50.938907547071686,48.515761279090924,44.39464344235637,0,1,0,3,269.08292704860384,wifi,video,0.6,59.943367327164026,1
32.712800217929825,39.0776696759028,23.138683210385857,55.94135453351281,47.6111827944722,88.11586688901971,0,1,0,1,38.7464447089075,4g,social,0.3,56.53473690496868,1
27.682911535937688,62.20299115404737,40.55008695141803,39.982737018124936,73.63538784950362,0.0,1,1,0,3,36.05547212619679,4g,video,0.6,66.74624930840619,1
27.671351232148716,17.52632996742714,24.41470651009479,11.400088727219835,57.631172043639104,23.538535417656718,0,1,0,1,46.03259134481653,4g,social,0.3,48.936686958699646,0
31.20981135783017,34.386361922744356,0.0,70.74876069232833,43.12961768665434,88.25895474263469,0,0,0,1,66.59815799386794,4g,game,1.0,65.43864933690938,1
20.43359877671101,19.51803325324888,12.437220400998358,16.750658895041614,41.592786147136664,99.63856053508377,0,1,0,2,48.20288719450008,wifi,social,0.3,41.74761276453491,0
21.375410837434835,27.071762510104925,33.478209694515975,68.89853204902137,34.790283679208166,94.58142648682056,0,1,0,3,8.71037817675306,4g,social,0.3,47.63666780375131,0
27.188562353795135,36.607858443567906,21.0234993896377,22.820596191579746,59.703317987820114,43.808596720952785,1,1,0,1,124.24994013442246,wifi,camera,0.7,61.44265379520845,1
24.93584439832788,38.9238260420395,13.223652674954323,41.2465835066292,66.27634531654981,69.62236434363021,0,0,0,4,63.060231545831996,wifi,social,0.3,46.35785538015591,0
31.571236662976368,0.0,13.834471920982574,39.892630942664994,92.63572320105047,98.73143655570941,1,1,0,0,119.50337596169517,4g,social,0.3,52.936279576417675,1
25.459879622393945,14.307770216768594,12.980674623918631,51.300337086431426,3.4579647648483984,72.32133116223015,0,1,0,0,29.362223761199605,wifi,social,0.3,45.474074520307724,0
22.938481493323543,0.0,9.691553491313048,33.37804847839819,69.22932369564649,63.81388486466109,0,0,0,1,46.94080040122928,4g,idle,0.1,35.333370627757084,0
37.32824384460777,26.267621312422754,17.910006972569825,7.5596652498457315,49.256366398177214,92.37709390595248,0,0,0,1,397.8942240553587,wifi,video,0.6,64.44119120472993,1
28.871118497567323,67.95393652648657,21.83307526082478,21.4027266093792,82.89350280491226,99.82564803467174,0,0,0,3,12.868865231202134,4g,idle,0.1,55.01547018304153,1
30.33764102343962,48.098702009836536,24.747881451399614,22.641410695936763,73.04963264517562,99.54838535322786,0,1,0,1,62.666161447486395,wifi,social,0.3,58.25790035157453,1
22.87625906893272,22.16194509370108,33.302952995518,48.2296779147946,1.5518999440684205,96.38688106891742,0,0,0,1,105.79133079628669,4g,video,0.6,49.40465621006867,0
27.278086377374088,7.82558531536591,4.3126733308321015,41.54048494552849,46.72621315633228,61.909665618107496,0,0,1,4,25.801768684087957,wifi,social,0.3,41.16675427169656,0
30.55461294854933,70.14305585038977,30.233335485307855,52.60134656650854,25.96719900316198,84.95427887623508,0,0,0,0,114.81277426188363,wifi,video,0.6,66.77520107381055,1
24.245032112888488,53.88331551369499,49.66520305446941,13.444863688536248,32.404921145325815,73.37251844656151,0,0,0,1,72.8947386443407,5g,game,1.0,63.44519383152003,1
31.87849009172836,9.347344587973335,19.521005576694154,21.51798293654177,50.17688773344506,76.7389817444006,1,0,0,4,16.4855536986585,4g,idle,0.1,49.085542760208,0
26.996806550405974,18.365764326049423,21.058552774815126,23.040555335713936,84.51305773741515,86.92900134693492,1,1,0,2,91.49487232458885,wifi,camera,0.7,59.938118146952895,1
